Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus unipunctatus	(Müller, 1764)	Mesopsocus aphidioides (Schrank, 1781); Mesopsocus longicornis (Stephens, 1836); Mesopsocus vitripennis (Curtis, 1837); Mesopsocus obliteratus (Zetterstedt, 1840); Mesopsocus naso (Rambur, 1842); Mesopsocus signatus (Hagen, 1861); Mesopsocus gracilis (Harris, 1869); Mesopsocus gibbulus (Bertkau, 1883); Mesopsocus fasciatus Enderlein, 1906; Mesopsocus bifasciatus Enderlein, 1906; Mesopsocus subfuscus Enderlein, 1906; Mesopsocus borealis Enderlein, 1910; Mesopsocus aphidioides; Mesopsocus signatus; 
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus tumorosus	Smithers, 1957	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus troodos	Lienhard, 1995	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus thorntoni	Badonnel, 1982	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus tetensi	Badonnel, 1982	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus smithersi	Badonnel, 1982	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus similis	Badonnel, 1977	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus propinquus	Broadhead & Richards, 1982	
Psocodea	Psocomorpha	Homilopsocidea				Mesopsocidae		Mesopsocus								Mesopsocus nitidifrons	Broadhead & Richards, 1982	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Psyllipsocus								Psyllipsocus spinifer	Lienhard, 2014	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Psyllipsocus								Psyllipsocus subtilis	Lienhard, 2014	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Psyllipsocus								Psyllipsocus thaidis	Lienhard, 2014	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Psyllipsocus								Psyllipsocus stupendus	Lienhard & Garcia Aldrete, 2016	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Pseudopsyllipsocus								Pseudopsyllipsocus gangliigerus	Li, 2002	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Annulipsyllipsocus								Annulipsyllipsocus andreneli	Hakim, Azar, Maksoud, Huang & Azar, 2018	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Annulipsyllipsocus								Annulipsyllipsocus inexspectatus	Hakim, Azar, Maksoud, Huang & Azar, 2018	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Parepipsocus								Parepipsocus obscurus	Badonnel, 1986	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia crosbyana	Chapman, 1930	Bertkauia crosbyanus; 
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia lepicidinaria	Chapman, 1930	Bertkauia lepicidinarius; 
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia loebli	(Badonnel, 1981)	Bertkauia loebli; 
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia lucifuga	(Rambur, 1842)	Bertkauia prisca Kolbe, 1882; Bertkauia pulicarius (Bertkau, 1883); Bertkauia lucifugus; Bertkauia lucifuga; 
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia remyi	(Badonnel, 1966)	Bertkauia remyi; 
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia reticularis	Li & Mockford, 1997	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia marusiki	Mockford, 2003	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Bertkauia								Bertkauia minuscula	Mockford, 2003	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Cubitiglabra								Cubitiglabra polyphebia	Li, 1995	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Cubitiglabra								Cubitiglabra quadripunctata	Li, 1995	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Cubitiglabra								Cubitiglabra dayaoshanana	Li, 2002	
Psocodea	Psocomorpha	Epipsocetae				Epipsocidae		Dichoepipsocus								Dichoepipsocus micropterus	Li & Mockford, 1997	
